Analysis,Markup type,Landmark,Definition,Refs,Norm mean,Norm SD
Tweed Analysis,Point,iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Wits Analysis,Point,A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.,,,
Wits Analysis,Point,B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.,,,
Basis,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.,,,
Basis,Point,s-the center of sella turcica,The midpoint of the horizontal diameter.,,,
Basis,Point,ANS-Anterior nasal spine,The tip of bony anterior nasal spine in the midline or median plane.,,,
Basis,Point,PNS- Posterior nasal spine,The intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.,,,
Basis,Point,A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.,,,
Basis,Point,B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.,,,
Basis,Point,Gn-gnathion,The deepest point on the chin.,,,
Basis,Point,id - infradentale,The point of transition from the crown of the most prominent mandibular medial incisor to the alveolar projection.,,,
Basis,Point,Pog-pogonion,The most prominent point on the chin.,,,
Basis,Point,sm-supramentale,"The deepest point on the contour of the alveolar projection, between infradentale and pogonion.",,,
Basis,Point,Isi-Incision superius incisalis,The incisal edge of the maxillary central incisor.,,,
Basis,Point,Isa-Incision superius apicalis,"The root apex of the most anterior maxillary central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Basis,Point,Iii-Incision inferius incisalis,The incisal edge of the most prominent mandibular central incisor.,,,
Basis,Point,Iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Cagliari,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.,,,
Cagliari,Point,s-The center of sella turcica,The midpoint of the horizontal diameter.,,,
Cagliari,Point,ANS-Anterior nasal spine,The tip of bony anterior nasal spine in the midline or median plane.,,,
Cagliari,Point,PNS-Posterior nasal spine,The intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.,,,
Cagliari,Point,A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.,,,
Cagliari,Point,B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.,,,
Cagliari,Point,Gn-gnathion,The deepest point on the chin.,,,
Cagliari,Point,id - infradentale,The point of transition from the crown of the most prominent mandibular medial incisor to the alveolar projection.,,,
Cagliari,Point,Pog-pogonion,The most prominent point on the chin.,,,
Cagliari,Point,sm-supramentale,"The deepest point on the contour of the alveolar projection, between infradentale and pogonion.",,,
Cagliari,Point,Isi-Incision superius incisalis,The incisal edge of the maxillary central incisor.,,,
Cagliari,Point,Isa-Incision superius apicalis,"The root apex of the most anterior maxillary central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Cagliari,Point,Iii-Incision inferius incisalis,The incisal edge of the most prominent mandibular central incisor.,,,
Cagliari,Point,Iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Cagliari,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.,,,
Cagliari,Point,APOcc-Anterior point of occlusion for the occlusal plane,"A constructed point, the midpoint of the incisor overbite in occlusion.",,,
Cagliari,Point,PPOcc-Posterior point of occlusion for the occlusal plane,The most distal point of contact between the most posterior molars in occlusion (Rakosi).,,,
Cagliari,Point,Pogonion (PG),The most anterior point on the chin.,,,
Cagliari,Point,Po-porion (anatomic),"The superior point of the externalauditory meatus (superior margin of temporomandibular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal).",,,
Cagliari,Point,Or-orbitale,"The lowest point on the inferior margin of the orbit, midpoint between right and left images.",,,
Cagliari,Point,Articulare,"Articulare is the point of intersection the dorsal contours of the processus articularis mandibulare and os temporale. The midpoint, a is used where double projection gives rise to two points, a1 and a2.",,,
Chieti,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.,,,
Chieti,Point,s- the center of sella turcica,The midpoint of the horizontal diameter.,,,
Chieti,Point,ANS- Anterior nasal spine,The tip of bony anterior nasal spine in the midline or median plane.,,,
Chieti,Point,PNS- Posterior nasal spine,The intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.,,,
Chieti,Point,A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.,,,
Chieti,Point,B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.,,,
Chieti,Point,Gn-gnathion,The deepest point on the chin.,,,
Chieti,Point,id - infradentale,The point of transition from the crown of the most prominent mandibular medial incisor to the alveolar projection.,,,
Chieti,Point,Pog-pogonion,The most prominent point on the chin.,,,
Chieti,Point,sm-supramentale,"The deepest point on the contour of the alveolar projection, between infradentale and pogonion.",,,
Chieti,Point,Isi-Incision superius incisalis,The incisal edge of the maxillary central incisor.,,,
Chieti,Point,Isa-Incision superius apicalis,"The root apex of the most anterior maxillary central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Chieti,Point,Iii-Incision inferius incisalis,The incisal edge of the most prominent mandibular central incisor.,,,
Chieti,Point,Iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Chieti,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.,,,
Chieti,Point,APOcc-Anterior point of occlusion for the occlusal plane,"A constructed point, the midpoint of the incisor overbite in occlusion.",,,
Chieti,Point,PPOcc-Posterior point of occlusion for the occlusal plane,The most distal point of contact between the most posterior molars in occlusion (Rakosi).,,,
Chieti,Point,Pogonion (PG),The most anterior point on the chin.,,,
Chieti,Point,Po-porion (anatomic),"The superior point of the external auditory meatus (superior margin of temporo mandibular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal).",,,
Chieti,Point,Or-orbitale,"The lowest point on the inferior margin of the orbit, midpoint between right and left images.",,,
Chieti,Point,Articulare,"Articulare is the point of intersection the dorsal contours of the processus articularis mandibulare and os temporale. The midpoint, a is used where double projection gives rise to two point, a1 and a2.",,,
McGann,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.,,,
McGann,Point,s-the center of sella turcica,The midpoint of the horizontal diameter.,,,
McGann,Point,ANS- Anterior nasal spine,The tip of bony anterior nasal spine in the midline or median plane.,,,
McGann,Point,PNS-Posterior nasal spine,The intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.,,,
McGann,Point,A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.,,,
McGann,Point,B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.,,,
McGann,Point,Gn-gnathion,The deepest point on the chin.,,,
McGann,Point,id - infradentale,The point of transition from the crown of the most prominent mandibular medial incisor to the alveolar projection.,,,
McGann,Point,Pog-pogonion,The most prominent point on the chin.,,,
McGann,Point,sm-supramentale,"The deepest point on the contour of the alveolar projection, between infradentale and pogonion.",,,
McGann,Point,Isi- Incision superius incisalis,The incisal edge of the maxillary central incisor.,,,
McGann,Point,Isa-Incision superius apicalis,"The root apex of the most anterior maxillary central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
McGann,Point,Iii-Incision inferius incisalis,The incisal edge of the most prominent mandibular central incisor.,,,
McGann,Point,Iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
McGann,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.,,,
McGann,Point,APOcc-Anterior point of occlusion for the occlusal plane,"A constructed point, the midpoint of the incisor overbite in occlusion",,,
McGann,Point,PPOcc-Posterior point of occlusion for the occlusal plane,The most distal point of contact between the most posterior molars in occlusion (Rakosi).,,,
McGann,Point,Pogonion (PG),The most anterior point on the chin.,,,
McGann,Point,Po-porion (anatomic),"The superior point of the externalauditory meatus (superior margin of temporomandi bular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal).",,,
McGann,Point,Or-orbitale,"The lowest point on the inferior margin of the orbit, midpoint between right and left images.",,,
McGann,Point,Articulare,"Articulare is the point of intersection the dorsal contours of the processus articularis mandibulare and os temporale.The midpoint, a is used where double projection gives rise to two points, a1 and a2.",,,
Kim Analysis,Point,N - Nasion,The most anterior point of the frontonasal suture in the midline.,,,
Kim Analysis,Point,S - Sella,The geometric center of the pituitary fossa (sella turcica).,,,
Kim Analysis,Point,ANS - Anterior nasal spine,The tip of the anterior nasal spine.,,,
Kim Analysis,Point,PNS - Posterior nasal spine,The intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.,,,
Kim Analysis,Point,A - Point A (subspinale),The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.,,,
Kim Analysis,Point,B - Point B (supramentale),The deepest midline point on the mandible between infradentale and pogonion.,,,
Kim Analysis,Point,Pog - Pogonion,The most anterior point on the chin.,,,
Kim Analysis,Point,Me - Menton,The most inferior midline point on the mandibular symphysis.,,,
Kim Analysis,Point,Go - Gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.,,,
Kim Analysis,Point,Ar - Articulare,The point of intersection of the dorsal contours of the condylar process and the temporal bone.,,,
Kim Analysis,Point,Or - Orbitale,The lowest point on the inferior margin of the orbit.,,,
Kim Analysis,Point,Po - Porion (anatomic),The superior point of the external auditory meatus.,,,
Eastman Analysis,Point,Ba - Basion,The most inferior posterior point of the occipital bone.,,,
Eastman Analysis,Point,N - Nasion,The most anterior point of the frontonasal suture in the midline.,,,
Eastman Analysis,Point,S - Sella,The geometric center of the pituitary fossa (sella turcica).,,,
Eastman Analysis,Point,A - Point A (subspinale),The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.,,,
Eastman Analysis,Point,B - Point B (supramentale),The deepest midline point on the mandible between infradentale and pogonion.,,,
Eastman Analysis,Point,Pog - Pogonion,The most anterior point on the chin.,,,
Eastman Analysis,Point,Me - Menton,The most inferior midline point on the mandibular symphysis.,,,
Eastman Analysis,Point,Go - Gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.,,,
Eastman Analysis,Point,Po - Porion (anatomic),The superior point of the external auditory meatus.,,,
Eastman Analysis,Point,Or - Orbitale,The lowest point on the inferior margin of the orbit.,,,
Delaire Analysis,Point,N - Nasion,The most anterior point of the frontonasal suture in the midline.,,,
Delaire Analysis,Point,S - Sella,The geometric center of the pituitary fossa (sella turcica).,,,
Delaire Analysis,Point,Ba - Basion,The most inferior posterior point of the occipital bone.,,,
Delaire Analysis,Point,Or - Orbitale,The lowest point on the inferior margin of the orbit.,,,
Delaire Analysis,Point,Po - Porion (anatomic),The superior point of the external auditory meatus.,,,
Delaire Analysis,Point,A - Point A (subspinale),The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.,,,
Delaire Analysis,Point,B - Point B (supramentale),The deepest midline point on the mandible between infradentale and pogonion.,,,
Delaire Analysis,Point,Pog - Pogonion,The most anterior point on the chin.,,,
Delaire Analysis,Point,Me - Menton,The most inferior midline point on the mandibular symphysis.,,,
Delaire Analysis,Point,Go - Gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.,,,
Delaire Analysis,Point,Ar - Articulare,The point of intersection of the dorsal contours of the condylar process and the temporal bone.,,,
Delaire Analysis,Point,ANS - Anterior nasal spine,The tip of the anterior nasal spine.,,,
Delaire Analysis,Point,PNS - Posterior nasal spine,The intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.,,,
Delaire Analysis,Point,Co - Condylion,The most superior point of the mandibular condyle.,,,
Delaire Analysis,Point,Is - Incision superius,The incisal point of the most prominent maxillary central incisor.,,,
Arnett Analysis,Point,G' - Soft tissue glabella,The most prominent point in the midsagittal plane of the forehead.,,,
Arnett Analysis,Point,N' - Soft tissue nasion,The most concave point on the soft tissue contour of the forehead at the nasofrontal sulcus.,,,
Arnett Analysis,Point,Pn - Pronasale,The most anterior point of the nose tip.,,,
Arnett Analysis,Point,Cm - Columella point,The most anterior point on the columella of the nose.,,,
Arnett Analysis,Point,Sn - Subnasale,The point at which the nasal septum merges with the upper cutaneous lip.,,,
Arnett Analysis,Point,Ls - Labrale superius,The most anterior point on the vermilion border of the upper lip.,,,
Arnett Analysis,Point,Stms - Stomion superius,The lowermost point on the vermilion of the upper lip at rest.,,,
Arnett Analysis,Point,Stmi - Stomion inferius,The uppermost point on the vermilion of the lower lip at rest.,,,
Arnett Analysis,Point,Li - Labrale inferius,The most anterior point on the vermilion border of the lower lip.,,,
Arnett Analysis,Point,Pog' - Soft tissue pogonion,The most anterior point of the soft tissue chin.,,,
Arnett Analysis,Point,Me' - Soft tissue menton,The lowest point on the contour of the soft tissue chin.,,,
Arnett Analysis,Point,C - Cervical point,The innermost point between the submental area and the neck.,,,
Arnett Analysis,Point,UIc - Upper central incisor edge,The incisal edge of the maxillary central incisor.,,,
Arnett Analysis,Point,LIc - Lower central incisor edge,The incisal edge of the mandibular central incisor.,,,
ABO DI Analysis,Point,A - Point A (subspinale),The deepest midline point on the maxilla between ANS and prosthion.,,,
ABO DI Analysis,Point,B - Point B (supramentale),The deepest midline point on the mandible between infradentale and pogonion.,,,
ABO DI Analysis,Point,N - Nasion,The most anterior point of the frontonasal suture.,,,
ABO DI Analysis,Point,S - Sella,The geometric center of the pituitary fossa.,,,
ABO DI Analysis,Point,Go - Gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.,,,
ABO DI Analysis,Point,Me - Menton,The most inferior midline point on the mandibular symphysis.,,,
ABO DI Analysis,Point,Is - Incision superius,The incisal edge of the maxillary central incisor.,,,
ABO DI Analysis,Point,Ia - Incision superius apicalis,The root apex of the maxillary central incisor.,,,
ABO DI Analysis,Point,Ii - Incision inferius,The incisal edge of the mandibular central incisor.,,,
ABO DI Analysis,Point,Iia - Incision inferius apicalis,The root apex of the mandibular central incisor.,,,
CVM Analysis,Point,C2a - C2 anterior inferior,The most anteroinferior point on the body of the second cervical vertebra.,,,
CVM Analysis,Point,C2p - C2 posterior inferior,The most posteroinferior point on the body of the second cervical vertebra.,,,
CVM Analysis,Point,C3as - C3 anterior superior,The most anterosuperior point on the body of the third cervical vertebra.,,,
CVM Analysis,Point,C3ai - C3 anterior inferior,The most anteroinferior point on the body of the third cervical vertebra.,,,
CVM Analysis,Point,C3ps - C3 posterior superior,The most posterosuperior point on the body of the third cervical vertebra.,,,
CVM Analysis,Point,C3pi - C3 posterior inferior,The most posteroinferior point on the body of the third cervical vertebra.,,,
CVM Analysis,Point,C4as - C4 anterior superior,The most anterosuperior point on the body of the fourth cervical vertebra.,,,
CVM Analysis,Point,C4ai - C4 anterior inferior,The most anteroinferior point on the body of the fourth cervical vertebra.,,,
CVM Analysis,Point,C4ps - C4 posterior superior,The most posterosuperior point on the body of the fourth cervical vertebra.,,,
CVM Analysis,Point,C4pi - C4 posterior inferior,The most posteroinferior point on the body of the fourth cervical vertebra.,,,
Merrifield Z-angle,Point,Po - Porion,The superior point of the external auditory meatus.,,,
Merrifield Z-angle,Point,Or - Orbitale,The lowest point on the inferior margin of the orbit.,,,
Merrifield Z-angle,Point,Pog' - Soft tissue pogonion,The most anterior point of the soft tissue chin.,,,
Merrifield Z-angle,Point,Li - Labrale inferius,The midpoint of the lower vermilion border.,,,
Bimler Analysis,Point,Po - Porion,The superior point of the external auditory meatus.,,,
Bimler Analysis,Point,Or - Orbitale,The lowest point on the inferior margin of the orbit.,,,
Bimler Analysis,Point,N - Nasion,The most anterior point of the frontonasal suture in the midline.,,,
Bimler Analysis,Point,S - Sella,The geometric center of the pituitary fossa (sella turcica).,,,
Bimler Analysis,Point,A - Point A,The deepest point on the curve of the maxilla.,,,
Bimler Analysis,Point,B - Point B,The deepest midline point on the mandible.,,,
Bimler Analysis,Point,Pog - Pogonion,The most anterior point on the chin.,,,
Bimler Analysis,Point,Go - Gonion,The point of intersection of the ramus plane and the mandibular plane.,,,
Bimler Analysis,Point,Me - Menton,The most inferior midline point on the mandibular symphysis.,,,
Bimler Analysis,Point,ANS - Anterior nasal spine,Tip of the bony anterior nasal spine.,,,
Bimler Analysis,Point,PNS - Posterior nasal spine,The intersection of palatum posterior and fossa pterygopalatina.,,,
Bimler Analysis,Point,Ar - Articulare,"The point of intersection of the posterior border of the condylar process and the inferior border of the basilar part of the occipital bone.",,,
Bimler Analysis,Point,Is - Incision superius,The incisal point of the most prominent maxillary central incisor.,,,
Bimler Analysis,Point,Ia - Incisor superius apicalis,The root apex of the maxillary central incisor.,,,
Bimler Analysis,Point,Ii - Incision inferius,The incisal point of the most prominent mandibular central incisor.,,,
Bimler Analysis,Point,Iia - Incisor inferius apicalis,The root apex of the mandibular central incisor.,,,
Tollaro Analysis,Point,N - Nasion,The most anterior point of the frontonasal suture in the midline.,,,
Tollaro Analysis,Point,S - Sella,The geometric center of the pituitary fossa (sella turcica).,,,
Tollaro Analysis,Point,Ba - Basion,"The most inferior posterior point of the occipital bone at the anterior margin of the foramen magnum.",,,
Tollaro Analysis,Point,Ar - Articulare,"The point of intersection of the posterior border of the condylar process and the inferior border of the basilar part of the occipital bone.",,,
Tollaro Analysis,Point,A - Point A,The deepest point on the curve of the maxilla.,,,
Tollaro Analysis,Point,B - Point B,The deepest midline point on the mandible.,,,
Tollaro Analysis,Point,Pog - Pogonion,The most anterior point on the chin.,,,
Tollaro Analysis,Point,Go - Gonion,The point of intersection of the ramus plane and the mandibular plane.,,,
Tollaro Analysis,Point,Me - Menton,The most inferior midline point on the mandibular symphysis.,,,
Lautrou Analysis,Point,N - Nasion,The most anterior point of the frontonasal suture in the midline.,,,
Lautrou Analysis,Point,S - Sella,The geometric center of the pituitary fossa (sella turcica).,,,
Lautrou Analysis,Point,Ba - Basion,"The most inferior posterior point of the occipital bone at the anterior margin of the foramen magnum.",,,
Lautrou Analysis,Point,Ar - Articulare,"The point of intersection of the posterior border of the condylar process and the inferior border of the basilar part of the occipital bone.",,,
Lautrou Analysis,Point,Or - Orbitale,The lowest point on the inferior margin of the orbit.,,,
Lautrou Analysis,Point,Po - Porion,The superior point of the external auditory meatus.,,,
Lautrou Analysis,Point,A - Point A,The deepest point on the curve of the maxilla.,,,
Lautrou Analysis,Point,B - Point B,The deepest midline point on the mandible.,,,
Lautrou Analysis,Point,Pog - Pogonion,The most anterior point on the chin.,,,
Lautrou Analysis,Point,Gn - Gnathion,"A point on the chin determined by bisecting the facial and mandibular planes.",,,
Lautrou Analysis,Point,Go - Gonion,The point of intersection of the ramus plane and the mandibular plane.,,,
Lautrou Analysis,Point,Me - Menton,The most inferior midline point on the mandibular symphysis.,,,
Lautrou Analysis,Point,ANS - Anterior nasal spine,Tip of the bony anterior nasal spine.,,,
Lautrou Analysis,Point,PNS - Posterior nasal spine,The intersection of palatum posterior and fossa pterygopalatina.,,,
Lautrou Analysis,Point,Is - Incision superius,The incisal point of the most prominent maxillary central incisor.,,,
Lautrou Analysis,Point,Ia - Incisor superius apicalis,The root apex of the maxillary central incisor.,,,
Lautrou Analysis,Point,Ii - Incision inferius,The incisal point of the most prominent mandibular central incisor.,,,
Lautrou Analysis,Point,Iia - Incisor inferius apicalis,The root apex of the mandibular central incisor.,,,
Gugino Analysis,Point,N - Nasion,The most anterior point of the frontonasal suture in the midline.,,,
Gugino Analysis,Point,S - Sella,The geometric center of the pituitary fossa (sella turcica).,,,
Gugino Analysis,Point,Ba - Basion,"The most inferior posterior point of the occipital bone at the anterior margin of the foramen magnum.",,,
Gugino Analysis,Point,Or - Orbitale,The lowest point on the inferior margin of the orbit.,,,
Gugino Analysis,Point,Po - Porion,The superior point of the external auditory meatus.,,,
Gugino Analysis,Point,A - Point A,The deepest point on the curve of the maxilla.,,,
Gugino Analysis,Point,B - Point B,The deepest midline point on the mandible.,,,
Gugino Analysis,Point,Pog - Pogonion,The most anterior point on the chin.,,,
Gugino Analysis,Point,Gn - Gnathion,"A point on the chin determined by bisecting the facial and mandibular planes.",,,
Gugino Analysis,Point,Go - Gonion,The point of intersection of the ramus plane and the mandibular plane.,,,
Gugino Analysis,Point,Me - Menton,The most inferior midline point on the mandibular symphysis.,,,
Gugino Analysis,Point,ANS - Anterior nasal spine,Tip of the bony anterior nasal spine.,,,
Gugino Analysis,Point,PNS - Posterior nasal spine,The intersection of palatum posterior and fossa pterygopalatina.,,,
Gugino Analysis,Point,Ar - Articulare,"The point of intersection of the posterior border of the condylar process and the inferior border of the basilar part of the occipital bone.",,,
Gugino Analysis,Point,Co - Condylion,The most superior point of the mandibular condyle.,,,
Epker's Soft Tissue Analysis,Point,G' - Soft tissue glabella,The most anterior point on the soft tissue forehead.,,,
Epker's Soft Tissue Analysis,Point,N' - Soft tissue nasion,The deepest point on the soft tissue contour of the nasal root.,,,
Epker's Soft Tissue Analysis,Point,Prn - Pronasale,The most protruded point of the apex nasi.,,,
Epker's Soft Tissue Analysis,Point,Sn - Subnasale,Midpoint of the columella base at the apex of the nasolabial angle.,,,
Epker's Soft Tissue Analysis,Point,Cm - Columella point,The most anterior point on the columella of the nose.,,,
Epker's Soft Tissue Analysis,Point,Ls - Labrale superius,The midpoint of the upper vermilion line.,,,
Epker's Soft Tissue Analysis,Point,Stms - Stomion superius,The lowermost point on the vermilion of the upper lip.,,,
Epker's Soft Tissue Analysis,Point,Stmi - Stomion inferius,The uppermost point on the vermilion of the lower lip.,,,
Epker's Soft Tissue Analysis,Point,Li - Labrale inferius,The midpoint of the lower vermilion border.,,,
Epker's Soft Tissue Analysis,Point,Si - Sublabiale,The deepest point on the contour between the lower lip and chin.,,,
Epker's Soft Tissue Analysis,Point,Pog' - Soft tissue pogonion,The most anterior point of the soft tissue chin.,,,
Epker's Soft Tissue Analysis,Point,Me' - Soft tissue menton,The lowest point on the contour of the soft tissue chin.,,,
Epker's Soft Tissue Analysis,Point,C - Cervical point,The deepest point of the soft tissue contour between the chin and the neck.,,,
COGS Analysis,Point,N - Nasion,The most anterior point of the frontonasal suture in the midline.,,,
COGS Analysis,Point,S - Sella,The geometric center of the pituitary fossa (sella turcica).,,,
COGS Analysis,Point,Or - Orbitale,The lowest point on the inferior margin of the orbit.,,,
COGS Analysis,Point,Po - Porion,The superior point of the external auditory meatus.,,,
COGS Analysis,Point,A - Point A,The deepest point on the curve of the maxilla.,,,
COGS Analysis,Point,B - Point B,The deepest midline point on the mandible.,,,
COGS Analysis,Point,Pog - Pogonion,The most anterior point on the chin.,,,
COGS Analysis,Point,Gn - Gnathion,"A point on the chin determined by bisecting the facial and mandibular planes.",,,
COGS Analysis,Point,Go - Gonion,The point of intersection of the ramus plane and the mandibular plane.,,,
COGS Analysis,Point,Me - Menton,The most inferior midline point on the mandibular symphysis.,,,
COGS Analysis,Point,ANS - Anterior nasal spine,Tip of the bony anterior nasal spine.,,,
COGS Analysis,Point,PNS - Posterior nasal spine,The intersection of palatum posterior and fossa pterygopalatina.,,,
COGS Analysis,Point,Ar - Articulare,"The point of intersection of the posterior border of the condylar process and the inferior border of the basilar part of the occipital bone.",,,
COGS Analysis,Point,Co - Condylion,The most superior point of the mandibular condyle.,,,
COGS Analysis,Point,Is - Incision superius,The incisal point of the most prominent maxillary central incisor.,,,
COGS Analysis,Point,Ia - Incisor superius apicalis,The root apex of the maxillary central incisor.,,,
COGS Analysis,Point,Ii - Incision inferius,The incisal point of the most prominent mandibular central incisor.,,,
COGS Analysis,Point,Iia - Incisor inferius apicalis,The root apex of the mandibular central incisor.,,,
