Category,Projection,Primary Use
Standard Orthodontic & Orthognathic,Submentovertex (SMV) / Basal View,"Evaluating cranial base symmetry, condylar angulation, and transverse discrepancies from a bottom-up angle."
Standard Orthodontic & Orthognathic,Panoramic Radiograph (OPG / Orthopantomogram),"Providing a broad overview of the dentition, jaws, and vertical ramal/condylar asymmetries."
TMJ-Specific,Transcranial View (Schüller projection),Evaluating the lateral aspect of the TMJ and condylar position/translation.
TMJ-Specific,Transpharyngeal View (Parma projection),Providing a clear view of the condylar head and neck across the pharynx.
TMJ-Specific,Transorbital View (Zimmer projection),Viewing the TMJ from an anterior-to-posterior perspective through the orbit.
Specialized Cranial & Midface,Waters View (Occipitomental),"Examining the midface, maxillary sinuses, and zygomatic arches."
Specialized Cranial & Midface,Caldwell View (Occipitofrontal),"Evaluating the frontal and ethmoid sinuses, as well as lateral orbital walls."
Specialized Cranial & Midface,Towne’s View (AP Axial projection),Checking for medial/lateral condylar displacement and evaluating the occipital bone.
Growth & Skeletal Maturation,Hand-Wrist Radiograph (Carpal View),Assessing skeletal bone age and pubertal growth stages.
Modern 3D Imaging,CBCT (Cone Beam Computed Tomography),A single 3D volumetric scan that digitally recreates 2D views without superimposition or magnification.