Analysis,Markup type,Landmark,Definition
Bjork,Point,Ar-articulare,The point of intersection of the dorsal contours of processus articularis mandibulae and os temporale. The midpoint is used where double projection gives rise to two articulare points.
Bjork,Point,dd,The most prominent point of the chin in the direction of measurement.
Bjork,Point,gn-gnathion,The deepest point on the chin.
Bjork,Point,id-infradentale,The point of transition from the crown of the most prominent mandibular medial incisor to the alveolar projection.
Bjork,Point,ii-incision inferius,The incisal point of the most prominent medial mandibular incisor.
Bjork,Point,is-incision superius,The incisal point of the most prominent medial maxillary incisor.
Bjork,Point,kk,The point of intersection between the base and ramus tangents to the mandible. The midpoint is used where double projection gives rise to two points.
Bjork,Point,mi,The mesial contact point of the lower molar projected normal to the plane of occlusion.
Bjork,Point,ms,The mesial contact point of the upper molar projected normal to the plane of occlusion.
Bjork,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.
Bjork,Point,or-orbitale,The deepest point on the infraorbital margin. The midpoint is used where double projection gives rise to two points.
Bjork,Point,pg-pogonion,The most prominent point on the chin.
Bjork,Point,Po-porion,"Porion is the most superior point of the external auditory meatus (the superior margin of the TMJ fossa, which lies at the same level may be substitute in the construction of the FH)."
Bjork,Point,pr-prosthion,The transition point between the crown of the most prominent medial maxillary incisor and the alveolar projection.
Bjork,Point,s,The center of sella turcica (the midpoint of the horizontal diameter).
Bjork,Point,sm-supramentale,"The deepest point on the contour of the alveolar projection, between infradentale and pogonion."
Bjork,Point,sp-the spinal point,The apex of spina nasalis anterior.
Bjork,Point,snp-spina nasalis posterior,"The point of intersection of palatum posterior durum, palatum molle and fossa pterygopalatina."
Bjork,Point,ss-subspinale,"The deepest point on the contour of the alveolar projection, between the spinal point and prosthion."
Bjork,Point,io,"The incisal point of the most prominent medial mandibular incisor, projected normal to the plane of occlusion."
Coben Craniofacial and Dentition,Point,A-point A (subspinale),The point at the deepest midline concavity on the maxilla between the anterior nasal spine and prosthion.
Coben Craniofacial and Dentition,Point,Ans-anterior nasal spine,The most anterior point of the anterior nasal spine.
Coben Craniofacial and Dentition,Point,Ar-articulare,The point of intersection of the images of the posterior border of the condylar process of the mandible and the inferior border of the basilar part of the occipital bone.
Coben Craniofacial and Dentition,Point,B-point B (supramentale),The point at the deepest midline concavity on the mandibular symphysis between infradentale and pogonion.
Coben Craniofacial and Dentition,Point,F - point F (constructed),"The point approximating foramen cecum representing the anatomic anterior limit of the cranial base, constructed as the point of intersection of a perpendicular to the S-N plane from the point of crossing of the images of the orbital roofs and the internal plate of the frontal bone."
Coben Craniofacial and Dentition,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.
Coben Craniofacial and Dentition,Point,M-menton,The most inferior midline point on the mandibular symphysis.
Coben Craniofacial and Dentition,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.
Coben Craniofacial and Dentition,Point,Or-orbitale,"The lowest point on the inferior margin of the orbit, midpoint between right and left images."
Coben Craniofacial and Dentition,Point,Po-porion (anatomic),"The superior point of the externa-Lauditory meatus (superior margin of temporomandibular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal)."
Coben Craniofacial and Dentition,Point,Pog-pogonion,The most anterior midline point of the mandibular symphysis.
Coben Craniofacial and Dentition,Point,Po'-pogonion' (constructed),The point of tangency of a perpendicular from the mandibular plane to the most prominent convexity of the mandibular symphysis.
Coben Craniofacial and Dentition,Point,Ptm-pterygomaxillary fissure,The point of intersection of the images of the anterior surface of the pterygoid process of the sphenoid bone and the posterior margin of the maxilla.
Coben Craniofacial and Dentition,Point,S-sella,The point representing the geometric center of the pituitary fossa (sella turcica).
Coben Craniofacial and Dentition,Point,Ul-maxillary central incisor (horizontal),The most labial point on the crown of the maxillary central incisor.
Coben Craniofacial and Dentition,Point,Ul-maxillary central incisor (vertical),The incisal edge of the maxillary central incisor.
Coben Craniofacial and Dentition,Point,L1-mandibular central incisor (horizontal),The most labial point on the crown of the mandibular central incisor.
Coben Craniofacial and Dentition,Point,L1-mandibular central incisor (vertical),The incisal edge of the mandibular central incisor.
Coben Craniofacial and Dentition,Point,U6-maxillary first molar (horizontal),The most distal point on the crown of the maxillary first permanent molar.
Coben Craniofacial and Dentition,Point,U6-maxillary first molar (vertical),The tip of the mesiobuccal cusp of the maxillary first permanent molar.
Coben Craniofacial and Dentition,Point,L6-mandibular first molar (horizontal),The most distal point on the crown of the mandibular first permanent molar.
Coben Craniofacial and Dentition,Point,L6-mandibular first molar (vertical),The tip of the mesiobuccal cusp of the mandibular first permanent molar.
Downs,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.
Downs,Point,Bolton point,The highest point on the concavity behind the occipital condyles.
Downs,Point,The centre of sella turcica,Located by inspection of the profile image of the fossa.
Downs,Point,Orbitale,The lowest point on the left infraorbital margin.
Downs,Point,Porion (cephalometric),The highest point on the superior surface of the soft tissue of the external auditory meati.
Downs,Point,Pogonion,The most anterior point on the mandible in the midline.
Downs,Point,Point A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.
Downs,Point,Point B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.
Downs,Point,Gnathion,A point on the chin determined by bisecting the angle formed by the facial and mandibular planes.
Farkas and Coworkers Soft Tissue,Point,Trichion (tr),Point on the hairline in the midline of the forehead.
Farkas and Coworkers Soft Tissue,Point,Glabella (g),The most prominent midline point between the eyebrows.
Farkas and Coworkers Soft Tissue,Point,Subnasion (n'),Deepest point of the nasofrontal angle.
Farkas and Coworkers Soft Tissue,Point,Pronasale (prn),The most protruded point of the apex nasi.
Farkas and Coworkers Soft Tissue,Point,Subnasale (sn),Midpoint of the columella base at the apex of the nasolabial angle.
Farkas and Coworkers Soft Tissue,Point,Labiale superius (ls),Midpoint of the upper vermilion line.
Farkas and Coworkers Soft Tissue,Point,Labiale inferius (li),Midpoint of the lower vermilion line.
Farkas and Coworkers Soft Tissue,Point,Sublabiale (si),Midpoint of the horizontal labiomental skin ridge.
Farkas and Coworkers Soft Tissue,Point,Pogonion (pg),The most anterior midpoint of the chin.
Harvold,Point,Temporomandibular joint (TMJ),"A point on the contour of the glenoid fossa, where the line indicating the maximum length of the mandible intercepts the contour of the temporomandibular fossa. The midpoint between the right and left side is marked."
Harvold,Point,Anterior nasal spine (ANS),"A point on the lower contour of the anterior nasal spine where the vertical thickness is 3 mm, used for horizontal measurements; a point on the upper contour of the anterior nasal spine, where the vertical thickness is 3 mm, employed for vertical measurements."
Harvold,Point,Prognathion (PGN),A point on the contour of the chin indicating maximum mandibular length measured from the temporomandibular joint.
Harvold,Point,Gnathion (GN),The most inferior point on the contour of the chin.
Harvold,Point,Pogonion (PG),The most anterior point on the chin.
Harvold,Point,Nasion (N),"The point at which the nasofrontal suture reaches the contour line of the bones. The forward position of the maxilla, measured from TM to ANS."
Harvold,Distance,Mandibular length,Measured from TM to PGN.
Harvold,Distance,Lower face height,Measured from ANS to GN.
Harvold,Angle,The angle of convexity,The angle between the lines PG-ANS and ANS-N.
Holdaway,Line,The H line or harmony line,Drawn tangent to the soft tissue chin and the upper lip.
Holdaway,Line,Soft tissue facial line,A soft tissue facial line from soft-tissue nasion to the point on the soft tissue chin overlying Rickett's suprapogonion.
Holdaway,Plane,The usual hard tissue facial plane,The usual hard tissue facial plane.
Holdaway,Line,The sella-nasion line,The sella-nasion line.
Holdaway,Plane,Frankfort horizontal plane (FH),Frankfort horizontal plane (FH).
Holdaway,Line,Right angle to Frankfort plane,A line running at a right angle to the Frankfort plane down tangent to the vermilion border of the upper lip.
Legan and Burstone Soft Tissue,Point,Glabella (G),The most prominent point in the midsagittal plane of the forehead.
Legan and Burstone Soft Tissue,Point,Columella point (Cm),The most anterior point on the columella of the nose.
Legan and Burstone Soft Tissue,Point,Subnasale (Sn),The point at which the nasal septum merges with the upper cutaneous lip in the midsagittal plane.
Legan and Burstone Soft Tissue,Point,Labrale superius (Ls),A point indicating the mucocutaneous border of the upper lip.
Legan and Burstone Soft Tissue,Point,Stomion superius (Stms),The lowermost point on the vermilion of the upper lip.
Legan and Burstone Soft Tissue,Point,Stomion inferius (Stmi),The uppermost point on the vermilion of the lower lip.
Legan and Burstone Soft Tissue,Point,Labrale inferius (Li),A point indicating the mucocutaneous border of the lower lip.
Legan and Burstone Soft Tissue,Point,Mentolabial sulcus (Si),The point of greatest concavity in the midline between the lower lip (Li) and chin (Pg').
Legan and Burstone Soft Tissue,Point,Soft tissue pogonion (Pg'),The most anterior point on soft tissue chin.
Legan and Burstone Soft Tissue,Point,Soft tissue gnathion (Gn'),The constructed midpoint between soft tissue pogonion and soft tissue menton; can be located at the intersection of the subnasale to soft tissue pogonion line and the line from C to Me.
Legan and Burstone Soft Tissue,Point,Soft tissue menton (Me'),The lowest point on the contour of the soft tissue chin; found by dropping a perpendicular from horizontal plane through menton.
Legan and Burstone Soft Tissue,Point,Cervical point (C),The innermost point between the submental area and the neck located at the intersection of lines drawn tangent to the neck and submental areas.
Rickett's,Point,A,The deepest point on the curve of the maxilla between the anterior nasal spine and the dental alveolus.
Rickett's,Point,ANS,Tip of the anterior nasal spine.
Rickett's,Point,BA,Most inferior posterior point of the occipital bone.
Rickett's,Point,CC,Point where the basion-nasion plane and the facial axis intersect.
Rickett's,Point,DC,"A point selected in the center of the neck of the condyle, where the basion-nasion plane crosses it."
Rickett's,Point,NA,A point at the anterior limit of the nasofrontal suture.
Rickett's,Point,PM,Point selected at the anterior border of the symphysis between point B and pogonion where the curvature changes from concave to convex.
Rickett's,Point,PO,Most anterior point on the midsagittal symphysis tangent to the facial plane.
Rickett's,Point,XI,The geometric center of the ramus of the mandible.
Sassouni,Angle,Palatocranial angle,Angle formed by the palatal plane and the anterior cranial base plane.
Sassouni,Angle,Palatomandibular angle,Angle formed by the palatal plane and the mandibular base plane.
Sassouni,Angle,Occlusopalatal angle,Angle formed by the occlusal plane and the palatal plane.
Sassouni,Angle,Occlusomandibular angle,Angle formed by the occlusal plane and the mandibular base plane.
Sassouni,Angle,Angle M,Angle formed by the 6 axis and the occlusal plane.
Sassouni,Angle,Angle M',Angle formed by the 6 axis and che palatal plane.
Sassouni,Angle,Angle M''ť,Angle formed by the 6 axis and the anterior cranial base plane.
Sassouni,Angle,Angle I,Angle formed by 1 and the occlusal plane.
Sassouni,Angle,Angle I',Angle formed by i and the palatal plane.
Sassouni,Angle,Angle I''ť,Angle formed by I and che ancerior cranial base plane.
Sassouni,Angle,Angle R,Angle formed by the occlusal plane and the ramal plane.
Sassouni,Angle,Angle i,Angle formed by the occlusal plane and the axis of 1.
Sassouni,Angle,Angle rfl',Angle formed by the occlusal plane and the axis of 6.
Di Paolo's Quadrilateral,Point,A,The deepest point on the curve of the maxilla between the anterior nasal spine and the dental alveolus.
Di Paolo's Quadrilateral,Point,ANS,Tip of the anterior nasal spine.
Di Paolo's Quadrilateral,Point,Nasion (N),The point at which the nasofrontal suture reaches the contour line of the bones.
Di Paolo's Quadrilateral,Point,Pogonion (PG),The most anterior point on the chin.
Di Paolo's Quadrilateral,Point,Point B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.
Di Paolo's Quadrilateral,Point,Ptm-pterygomaxillary fissure,The point of intersection of the images of the anterior surface of the pterygoid process of the sphenoid bone and the posterior margin of the maxilla.
Di Paolo's Quadrilateral,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.
Di Paolo's Quadrilateral,Point,Ar-articulare,The point of intersection of the dorsal contours of processus articularis mandibulae and os temporale. The midpoint is used where double projection gives rise to two articulare points.
Di Paolo's Quadrilateral,Point,snp-spina nasalis posterior,"The point of intersection of palatum posterior durum, palatum molle and fossa pterygopalatina."
Hasund (Bergen),Point,A-point A (subspinale),The point at the deepest midline concavity on the maxilla between the anterior nasal spine and prosthion.
Hasund (Bergen),Point,Ans-anterior nasal spine,The most anterior point of the anterior nasal spine.
Hasund (Bergen),Point,Ar-articulate,The point of intersection of the images of the posterior border of the condylar process of the mandible and the inferior border of the basilar part of the occipital bone.
Hasund (Bergen),Point,B-point B (supramentale),The point at the deepest midline concavity on the mandibular symphysis between infradentale and pogonion.
Hasund (Bergen),Point,Ba-basion,The median point of the anterior margin of the foramen magnum located by following the image of the slope of the inferior border of the basilar part of the occipital bone to its posterior limit.
Hasund (Bergen),Point,N-nasion,The most anterior (midline) point of the frontonasal suture.
Hasund (Bergen),Point,S-sella,The point representing the geometric centrer of the pituitary fossa (sella turcica).
Hasund (Bergen),Point,Pogonion,The most anterior point on the mandible in the midline.
Hasund (Bergen),Point,Gnathion,A point on the chin determined by bisecting the angle formed by the facial and mandibular planes.
Hasund (Bergen),Point,ii-incision inferius,The incisal point of the most prominent medial mandibular incisor.
Hasund (Bergen),Point,is-incision superius,The incisal point of the most prominent medial maxillary incisor.
Jarabak,Point,A-point A (subspinale),The point at the deepest midline concavity on the maxilla between the anterior nasal spine and prosthion.
Jarabak,Point,Ans-anterior nasal spine,The most anterior point of the anterior nasal spine.
Jarabak,Point,Ar-articulare,The point of intersection of the images of the posterior border of the condylar process of the mandible and the inferior border of the basilar part of the occipital bone.
Jarabak,Point,B-point B (supramentale),The point at the deepest midline concavity on the mandibular symphysis between infradentale and pogonion.
Jarabak,Point,Ba-basion,The median point of the anterior margin of the foramen magnum located by following the image of the slope of the inferior border of the basilar part of the occipital bone to its posterior limit.
Jarabak,Point,N-nasion,The most anterior (midline) point of the frontonasal suture.
Jarabak,Point,S-sella,The point representing the geometric centrer of the pituitary fossa (sella turcica).
Jarabak,Point,Pogonion,The most anterior point on the mandible in the midline.
Jarabak,Point,Gnathion,A point on the chin determined by bisecting the angle formed by the facial and mandibular planes.
Jarabak,Point,ii-incision inferius,The incisal point of the most prominent medial mandibular incisor.
Jarabak,Point,is-incision superius,The incisal point of the most prominent medial maxillary incisor.
Jarabak,Point,snp-spina nasalis posterior,"The point of intersection of palatum posterior durum, palatum molle and fossa pterygo-palatina."
Jarabak,Point,Po-porion (anatomic),"The superior point of the externalauditory meatus (superior margin of temporomandibular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal)."
Riedel,Point,A-point A (subspinale),The point at the deepest midline concavity on the maxilla between the anterior nasal spine and prosthion.
Riedel,Point,Ans-anterior nasal spine,The most anterior point of the anterior nasal spine.
Riedel,Point,B-point B (supramentale),The point at the deepest midline concavity on the mandibular symphysis between infradentale and pogonion.
Riedel,Point,N-nasion,The most anterior (midline) point of the frontonasal suture.
Riedel,Point,S-sella,The point representing the geometric center of the pituitary fossa (sella turcica).
Riedel,Point,Pogonion,The most anterior point on the mandible in the midline.
