Analysis,Markup type,Landmark,Definition
Riedel,Point,ii-incision inferius,The incisal point of the most prominent medial mandibular incisor.
Riedel,Point,is-incision superius,The incisal point of the most prominent medial maxillary incisor.
Riedel,Point,snp-spina nasalis posterior,"The point of intersection of palatum posterior durum, palatum molle and fossa pterygopalatina."
Riedel,Point,Po-porion (anatomic),"The superior point of the externalauditory meatus (superior margin of temporomandibular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal)."
Riedel,Point,Or-orbitale,"The lowest point on the inferior margin of the orbit, midpoint between right and left images."
Riedel,Point,Ul-maxillary central incisor (horizontal),The most labial point on the crown of the maxillary central incisor.
Riedel,Point,Ul-maxillary central incisor (vertical),The incisal edge of the maxillary central incisor.
Riedel,Point,L1-mandibular central incisor (horizontal),The most labial point on the crown of the mandibular central incisor.
Riedel,Point,L1-mandibular central incisor (vertical),The incisal edge of the mandibular central incisor.
Riedel,Point,Gnathion (GN),The most inferior point on the contour of the chin.
Riedel,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.
Riedel,Point,Iip-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used."
Riedel,Point,APOcc-Anterior point of occlusion for the occlusal plane,"A constructed point, the midpoint of the incisor overbite in occlusion"
Riedel,Point,PPOcc-Posterior point of occlusion for the occlusal plane,The most distal point of contact between the most posterior molars in occlusion (Rakosi).
Riedel,Point,Maxillary central incisor,The most labial point on the crown of the maxillary central incisor.
Riedel,Point,Mandibular central incisor,The most labial point on the crown of the mandibular central incisor.
Schwartz,Point,A-point A (subspinale),The point at the deepest midline concavity on the maxilla between the anterior nasal spine and prosthion.
Schwartz,Point,Ans-anterior nasal spine,The most anterior point of the anterior nasal spine.
Schwartz,Point,B-point B (supramentale),The point at the deepest midline concavity on the mandibular symphysis between infradentale and pogonion.
Schwartz,Point,N-nasion,The most anterior (midline) point of the frontonasal suture.
Schwartz,Point,S-sella,The point representing the geometric center of the pituitary fossa (sella turcica).
Schwartz,Point,Pogonion,The most anterior point on the mandible in the midline.
Schwartz,Point,ii-incision inferius,The incisal point of the most prominent medial mandibular incisor
Schwartz,Point,is-incision superius,The incisal point of the most prominent medial maxillary incisor.
Wylie,Point,sp-Dorsum of sella,The most posterior point on the internal contour of the sella turcica or hypophyseal fossa or pituitary fossa.
Wylie,Point,si-Floor of sella,The lower most point on the inner contour of the sella turcica or hypophyseal fossa or pituitary fossa.
Wylie,Point,Cl-Clinoidale,The most superior point on the contour of the anterior clinoid.
Wylie,Point,S-Sella,The midpoint of sella turcica or hypophyseal fossa or pituitary fossa.
Wylie,Point,ANS-Anterior nasal spine,The tip of bony anterior nasal spine in the midline or median plane.
Wylie,Point,A-Point A,The deepest point on the curved bony outline between the anterior nasal spine (ANS) and prosthion (Pr).
Wylie,Point,PNS-Posterior nasal spine,The intersection of continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.
Wylie,Point,Ptm-Pterygomaxillary fissure,"A bilateral tear drop shaped area of radiolucency, the anterior shadow of which represents the posterior surface of the tuberosity of the maxilla; the landmark is taken where the two edges, front and back appears to merge inferiorly."
Wylie,Point,Orbitale,"The deepest point on the infraorbital margin.The midpoint, or is used where double projection gives rise to two points, or 1 and/or 2."
Wylie,Point,Gnathion (GN),The most inferior point on the contour of the chin.
Wylie,Point,Pogonion (PG),The most anterior point on the chin.
Wylie,Point,Point B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.
Wylie,Point,Po-porion (anatomic),"The superior point of the externalauditory meatus (superior margin of temporomandibular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal)."
Steiner's,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.
Steiner's,Point,The center of sella turcica,Located by inspection of the profile image of the fossa.
Steiner's,Point,Orbitale,The lowest point on the left infraorbital margin.
Steiner's,Point,Porion (cephalometric),The highest point on the superior surface of the soft tissue of the external auditory meati.
Steiner's,Point,Point A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.
Steiner's,Point,Point B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.
Steiner's,Point,ANS,Anterior nasal spine is the tip of bony anterior nasal spine in the midline or median plane.
Steiner's,Point,PNS,Posterior nasal spine is the intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.
Steiner's,Point,ii-incision inferius,The incisal point of the most prominent medial mandibular incisor.
Steiner's,Point,is - incision superius,The incisal point of the most prominent medial maxillary incisor.
Steiner's,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.
Steiner's,Point,APOcc-Anterior point of occlusion for the occlusal plane,"A constructed point, the midpoint of the incisor overbite in occlusion"
Steiner's,Point,PPOcc-Posterior point of occlusion for the occlusal plane,The most distal point of contact between the most posterior molars in occlusion (Rakosi).
Steiner's,Point,isa-Incision superius apicalis,"The root apex of the most anterior maxillary central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used."
Steiner's,Point,iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used."
Steiner's,Point,Pogonion (PG),The most anterior point on the chin.
Steiner's,Point,Pn,"The most anterior point on the midsagittal profile of the nose. In cases where the tip of the nose was more than a definite point, pronasale was determined by drawing a line parallel to the line nasion to pogonion tangent to the most anterior point on the midsagittal profile of the nose."
Tweed's,Point,Orbitale,The lowest point on the left infraorbital margin.
Tweed's,Point,Porion (cephalometric),The highest point on the superior surface of the soft tissue of the external auditory meati.
Tweed's,Point,ii-incision inferius,The incisal point of the most prominent medial mandibular incisor.
Tweed's,Point,is-incision superius,The incisal point of the most prominent medial maxillary incisor.
Tweed's,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.
Tweed's,Point,isa-Incision superius apicalis,"The root apex of the most anterior maxillary central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used."
Tweed's,Point,iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used."
Wit's,Point,Point A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.
Wit's,Point,Point B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.
Basis,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.
Basis,Point,s-the center of sella turcica,The midpoint of the horizontal diameter.
Basis,Point,ANS-Anterior nasal spine,The tip of bony anterior nasal spine in the midline or median plane.
Basis,Point,PNS- Posterior nasal spine,The intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.
Basis,Point,Point A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.
Basis,Point,Point B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.
Basis,Point,Gn-gnathion,The deepest point on the chin.
Basis,Point,id - infradentale,The point of transition from the crown of the most prominent mandibular medial incisor to the alveolar projection.
Basis,Point,Pog-pogonion,The most prominent point on the chin.
Basis,Point,sm-supramentale,"The deepest point on the contour of the alveolar projection, between infradentale and pogonion."
Basis,Point,Isi-Incision superius incisalis,The incisal edge of the maxillary central incisor.
Basis,Point,Isa-Incision superius apicalis,"The root apex of the most anterior maxillary central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used."
Basis,Point,Iii-Incision inferius incisalis,The incisal edge of the most prominent mandibular central incisor.
Basis,Point,Iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used."
Cagliari,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.
Cagliari,Point,s-The center of sella turcica,The midpoint of the horizontal diameter.
Cagliari,Point,ANS-Anterior nasal spine,The tip of bony anterior nasal spine in the midline or median plane.
Cagliari,Point,PNS-Posterior nasal spine,The intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.
Cagliari,Point,Point A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.
Cagliari,Point,Point B - supramentale,The deepest midline point on the mandible between infradentale and pogonion.
Cagliari,Point,Gn-gnathion,The deepest point on the chin.
Cagliari,Point,id - infradentale,The point of transition from the crown of the most prominent mandibular medial incisor to the alveolar projection.
Cagliari,Point,Pog-pogonion,The most prominent point on the chin.
Cagliari,Point,sm-supramentale,"The deepest point on the contour of the alveolar projection, between infradentale and pogonion."
Cagliari,Point,Isi-Incision superius incisalis,The incisal edge of the maxillary central incisor.
Cagliari,Point,Isa-Incision superius apicalis,"The root apex of the most anterior maxillary central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used."
Cagliari,Point,Iii-Incision inferius incisalis,The incisal edge of the most prominent mandibular central incisor.
Cagliari,Point,Iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used."
Cagliari,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.
Cagliari,Point,APOcc-Anterior point of occlusion for the occlusal plane,"A constructed point, the midpoint of the incisor overbite in occlusion."
Cagliari,Point,PPOcc-Posterior point of occlusion for the occlusal plane,The most distal point of contact between the most posterior molars in occlusion (Rakosi).
Cagliari,Point,Pogonion (PG),The most anterior point on the chin.
Cagliari,Point,Po-porion (anatomic),"The superior point of the externalauditory meatus (superior margin of temporomandibular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal)."
Cagliari,Point,Or-orbitale,"The lowest point on the inferior margin of the orbit, midpoint between right and left images."
Cagliari,Point,Articulare,"Articulare is the point of intersection the dorsal contours of the processus articularis mandibulare and os temporale. The midpoint, a is used where double projection gives rise to two points, a1 and a2."
Chieti,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.
Chieti,Point,s- the center of sella turcica,The midpoint of the horizontal diameter.
Chieti,Point,ANS- Anterior nasal spine,The tip of bony anterior nasal spine in the midline or median plane.
Chieti,Point,PNS- Posterior nasal spine,The intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.
Chieti,Point,Point A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.
Chieti,Point,Point B - supramentale,The deepest midline point on the mandible between infradentale and pogonion.
Chieti,Point,Gn-gnathion,The deepest point on the chin.
Chieti,Point,id - infradentale,The point of transition from the crown of the most prominent mandibular medial incisor to the alveolar projection.
Chieti,Point,Pog-pogonion,The most prominent point on the chin.
Chieti,Point,sm-supramentale,"The deepest point on the contour of the alveolar projection, between infradentale and pogonion."
Chieti,Point,Isi-Incision superius incisalis,The incisal edge of the maxillary central incisor.
Chieti,Point,Isa-Incision superius apicalis,"The root apex of the most anterior maxillary central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used."
Chieti,Point,Iii-Incision inferius incisalis,The incisal edge of the most prominent mandibular central incisor.
Chieti,Point,Iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used."
Chieti,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.
Chieti,Point,APOcc-Anterior point of occlusion for the occlusal plane,"A constructed point, the midpoint of the incisor overbite in occlusion."
Chieti,Point,PPOcc-Posterior point of occlusion for the occlusal plane,The most distal point of contact between the most posterior molars in occlusion (Rakosi).
Chieti,Point,Pogonion (PG),The most anterior point on the chin.
Chieti,Point,Po-porion (anatomic),"The superior point of the external auditory meatus (superior margin of temporo mandibular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal)."
Chieti,Point,Or-orbitale,"The lowest point on the inferior margin of the orbit, midpoint between right and left images."
Chieti,Point,Articulare,"Articulare is the point of intersection the dorsal contours of the processus articularis mandibulare and os temporale. The midpoint, a is used where double projection gives rise to two point, a1 and a2."
McGann,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.
McGann,Point,s-the center of sella turcica,The midpoint of the horizontal diameter.
McGann,Point,ANS- Anterior nasal spine,The tip of bony anterior nasal spine in the midline or median plane.
McGann,Point,PNS-Posterior nasal spine,The intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.
McGann,Point,Point A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.
McGann,Point,Point B - supramentale,The deepest midline point on the mandible between infradentale and pogonion.
McGann,Point,Gn-gnathion,The deepest point on the chin.
McGann,Point,id - infradentale,The point of transition from the crown of the most prominent mandibular medial incisor to the alveolar projection.
McGann,Point,Pog-pogonion,The most prominent point on the chin.
McGann,Point,sm-supramentale,"The deepest point on the contour of the alveolar projection, between infradentale and pogonion."
McGann,Point,Isi- Incision superius incisalis,The incisal edge of the maxillary central incisor.
McGann,Point,Isa-Incision superius apicalis,"The root apex of the most anterior maxillary central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used."
McGann,Point,Iii-Incision inferius incisalis,The incisal edge of the most prominent mandibular central incisor.
McGann,Point,Iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used."
McGann,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.
McGann,Point,APOcc-Anterior point of occlusion for the occlusal plane,"A constructed point, the midpoint of the incisor overbite in occlusion"
McGann,Point,PPOcc-Posterior point of occlusion for the occlusal plane,The most distal point of contact between the most posterior molars in occlusion (Rakosi).
McGann,Point,Pogonion (PG),The most anterior point on the chin.
McGann,Point,Po-porion (anatomic),"The superior point of the externalauditory meatus (superior margin of temporomandi bular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal)."
McGann,Point,Or-orbitale,"The lowest point on the inferior margin of the orbit, midpoint between right and left images."
McGann,Point,Articulare,"Articulare is the point of intersection the dorsal contours of the processus articularis mandibulare and os temporale.The midpoint, a is used where double projection gives rise to two points, a1 and a2."
